1000, 0.03713, 0.0001
2000, 0.00869, 0.0001
3000, 0.00507, 0.0001
4000, 0.00417, 0.0001
5000, 0.00368, 0.0001
6000, 0.00332, 0.0001
7000, 0.00309, 0.0001
8000, 0.00254, 5e-05
9000, 0.00228, 5e-05
10000, 0.00220, 5e-05
11000, 0.00214, 5e-05
12000, 0.00201, 5e-05
13000, 0.00174, 1e-05
14000, 0.00166, 1e-05
15000, 0.00167, 1e-05
16000, 0.00165, 1e-05
17000, 0.00167, 1e-05
18000, 0.00158, 1e-05
19000, 0.00157, 1e-05
20000, 0.00156, 1e-05
21000, 0.00159, 1e-05
22000, 0.00155, 1e-05
23000, 0.00152, 1e-05
24000, 0.00149, 1e-05
25000, 0.00153, 1e-05
26000, 0.00147, 1e-05
27000, 0.00145, 1e-05
28000, 0.00150, 1e-05
29000, 0.00147, 1e-05
30000, 0.00147, 1e-05
31000, 0.00145, 1e-05
32000, 0.00144, 1e-05
33000, 0.00148, 1e-05
34000, 0.00142, 1e-05
35000, 0.00143, 1e-05
36000, 0.00141, 1e-05
37000, 0.00143, 1e-05
38000, 0.00139, 1e-05
39000, 0.00141, 1e-05
40000, 0.00140, 1e-05
41000, 0.00140, 1e-05
42000, 0.00136, 1e-05
43000, 0.00137, 1e-05
44000, 0.00139, 1e-05
45000, 0.00137, 1e-05
46000, 0.00133, 1e-05
47000, 0.00136, 1e-05
48000, 0.00136, 1e-05
49000, 0.00135, 1e-05
50000, 0.00133, 1e-05
51000, 0.00133, 1e-05
52000, 0.00130, 1e-05
53000, 0.00136, 1e-05
54000, 0.00131, 1e-05
55000, 0.00128, 1e-05
56000, 0.00133, 1e-05
57000, 0.00127, 1e-05
58000, 0.00132, 1e-05
59000, 0.00129, 1e-05
60000, 0.00128, 1e-05
61000, 0.00129, 1e-05
62000, 0.00130, 1e-05
63000, 0.00128, 1e-05
64000, 0.00124, 1e-05
65000, 0.00127, 1e-05
66000, 0.00127, 1e-05
67000, 0.00124, 1e-05
68000, 0.00130, 1e-05
69000, 0.00125, 1e-05
70000, 0.00124, 1e-05
71000, 0.00122, 1e-05
72000, 0.00124, 1e-05
73000, 0.00123, 1e-05
74000, 0.00126, 1e-05
75000, 0.00126, 1e-05
76000, 0.00120, 1e-05
77000, 0.00118, 1e-05
78000, 0.00122, 1e-05
79000, 0.00122, 1e-05
80000, 0.00121, 1e-05
81000, 0.00115, 1e-05
82000, 0.00121, 1e-05
83000, 0.00122, 1e-05
84000, 0.00120, 1e-05
85000, 0.00121, 1e-05
86000, 0.00119, 1e-05
87000, 0.00118, 1e-05
88000, 0.00117, 1e-05
89000, 0.00117, 1e-05
90000, 0.00119, 1e-05
91000, 0.00115, 1e-05
92000, 0.00119, 1e-05
93000, 0.00118, 1e-05
94000, 0.00118, 1e-05
95000, 0.00117, 1e-05
96000, 0.00120, 1e-05
97000, 0.00121, 1e-05
98000, 0.00118, 1e-05
99000, 0.00117, 1e-05
100000, 0.00118, 1e-05
